Fold,Epoch,Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
1,37,0.5714855790138245,0.8301462317210349,0.765625,0.8688524590163934,0.7066666666666667,"[[649, 81], [221, 827]]","[[45, 8], [22, 53]]"
1,38,0.5668479204177856,0.8346456692913385,0.765625,0.8688524590163934,0.7066666666666667,"[[647, 83], [211, 837]]","[[45, 8], [22, 53]]"
2,0,1.5608189105987549,0.5935919055649241,0.5748031496062992,0.584,0.9733333333333334,"[[8, 723], [0, 1048]]","[[0, 52], [2, 73]]"
2,1,1.4797966480255127,0.5919055649241147,0.5905511811023622,0.5934959349593496,0.9733333333333334,"[[13, 718], [8, 1040]]","[[2, 50], [2, 73]]"
2,2,1.2429478168487549,0.6357504215851602,0.6692913385826772,0.6486486486486487,0.96,"[[171, 560], [88, 960]]","[[13, 39], [3, 72]]"
2,3,0.919597864151001,0.4412591343451377,0.44881889763779526,0.8571428571428571,0.08,"[[721, 10], [984, 64]]","[[51, 1], [69, 6]]"
2,4,1.024011492729187,0.4255199550309162,0.41732283464566927,0.6666666666666666,0.02666666666666667,"[[729, 2], [1020, 28]]","[[51, 1], [73, 2]]"
2,5,1.1190708875656128,0.49971894322653176,0.5039370078740157,0.8333333333333334,0.2,"[[714, 17], [873, 175]]","[[49, 3], [60, 15]]"
2,6,1.0636310577392578,0.6458684654300169,0.6535433070866141,0.7924528301886793,0.56,"[[628, 103], [527, 521]]","[[41, 11], [33, 42]]"
2,7,0.8390494585037231,0.7206295671725689,0.7244094488188977,0.7631578947368421,0.7733333333333333,"[[508, 223], [274, 774]]","[[34, 18], [17, 58]]"
2,8,0.8155975937843323,0.7448004496908376,0.7559055118110236,0.7558139534883721,0.8666666666666667,"[[458, 273], [181, 867]]","[[31, 21], [10, 65]]"
2,9,0.784371018409729,0.760539629005059,0.7716535433070866,0.7674418604651163,0.88,"[[455, 276], [150, 898]]","[[32, 20], [9, 66]]"
2,10,0.7645587921142578,0.7762788083192805,0.7716535433070866,0.7875,0.84,"[[506, 225], [173, 875]]","[[35, 17], [12, 63]]"
2,11,0.7271730303764343,0.7830241708825183,0.7795275590551181,0.821917808219178,0.8,"[[559, 172], [214, 834]]","[[39, 13], [15, 60]]"
