Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
2,26,0.26285815238952637,0.7401574803149606,19,108,52,75,19,33,0,75
2,27,0.22234830260276794,0.7401574803149606,19,108,52,75,19,33,0,75
2,28,0.2332640439271927,0.7716535433070866,23,104,52,75,23,29,0,75
2,29,0.18951471149921417,0.7952755905511811,28,99,52,75,27,25,1,74
2,30,0.20765969157218933,0.8188976377952756,33,94,52,75,31,21,2,73
2,31,0.19310395419597626,0.8267716535433071,34,93,52,75,32,20,2,73
2,32,0.17137329280376434,0.8267716535433071,34,93,52,75,32,20,2,73
2,33,0.17244842648506165,0.8267716535433071,34,93,52,75,32,20,2,73
2,34,0.1455322802066803,0.8188976377952756,35,92,52,75,32,20,3,72
2,35,0.13807524740695953,0.8031496062992126,37,90,52,75,32,20,5,70
2,36,0.14628219604492188,0.7952755905511811,38,89,52,75,32,20,6,69
2,37,0.1320294886827469,0.8110236220472441,40,87,52,75,34,18,6,69
2,38,0.10871927440166473,0.8267716535433071,42,85,52,75,36,16,6,69
2,39,0.11815470457077026,0.8267716535433071,42,85,52,75,36,16,6,69
2,40,0.10823214054107666,0.8267716535433071,42,85,52,75,36,16,6,69
2,41,0.1179620623588562,0.8267716535433071,42,85,52,75,36,16,6,69
2,42,0.08744225651025772,0.8267716535433071,44,83,52,75,37,15,7,68
2,43,0.08506973832845688,0.8267716535433071,44,83,52,75,37,15,7,68
2,44,0.08473037928342819,0.8346456692913385,43,84,52,75,37,15,6,69
2,45,0.09259110689163208,0.8267716535433071,40,87,52,75,35,17,5,70
2,46,0.07805076986551285,0.8188976377952756,39,88,52,75,34,18,5,70
2,47,0.07348522543907166,0.8188976377952756,41,86,52,75,35,17,6,69
2,48,0.08631090074777603,0.8188976377952756,41,86,52,75,35,17,6,69
2,49,0.061002787202596664,0.8188976377952756,41,86,52,75,35,17,6,69
3,0,0.7160900235176086,0.4094488188976378,127,0,52,75,52,0,75,0
3,1,37.183345794677734,0.4330708661417323,120,7,52,75,50,2,70,5
3,2,0.9473150372505188,0.5905511811023622,0,127,52,75,0,52,0,75
3,3,9.327005386352539,0.3858267716535433,122,5,52,75,48,4,74,1
3,4,3.4902420043945312,0.5905511811023622,0,127,52,75,0,52,0,75
3,5,2.1558895111083984,0.7637795275590551,66,61,52,75,44,8,22,53
3,6,0.7713907957077026,0.6456692913385826,91,36,52,75,49,3,42,33
3,7,0.775714635848999,0.8503937007874016,39,88,52,75,36,16,3,72
3,8,0.41668248176574707,0.6062992125984252,2,125,52,75,2,50,0,75
3,9,0.5879503488540649,0.6456692913385826,7,120,52,75,7,45,0,75
3,10,0.46130841970443726,0.84251968503937,38,89,52,75,35,17,3,72
3,11,0.3464336395263672,0.8267716535433071,58,69,52,75,44,8,14,61
3,12,0.46594250202178955,0.8740157480314961,48,79,52,75,42,10,6,69
3,13,0.3687598407268524,0.7952755905511811,26,101,52,75,26,26,0,75
3,14,0.30152997374534607,0.6614173228346457,9,118,52,75,9,43,0,75
3,15,0.36020156741142273,0.6456692913385826,7,120,52,75,7,45,0,75
3,16,0.34216561913490295,0.6929133858267716,13,114,52,75,13,39,0,75
3,17,0.3175937235355377,0.8188976377952756,29,98,52,75,29,23,0,75
3,18,0.25903841853141785,0.8346456692913385,41,86,52,75,36,16,5,70
3,19,0.2810753881931305,0.8346456692913385,41,86,52,75,36,16,5,70
3,20,0.2934153974056244,0.8031496062992126,35,92,52,75,31,21,4,71
3,21,0.25100085139274597,0.7559055118110236,23,104,52,75,22,30,1,74
3,22,0.2082027941942215,0.7086614173228346,15,112,52,75,15,37,0,75
3,23,0.2298063039779663,0.7007874015748031,14,113,52,75,14,38,0,75
3,24,0.27338916063308716,0.7637795275590551,26,101,52,75,24,28,2,73
3,25,0.19838833808898926,0.8346456692913385,39,88,52,75,35,17,4,71
3,26,0.20931415259838104,0.84251968503937,42,85,52,75,37,15,5,70
3,27,0.21567663550376892,0.8582677165354331,44,83,52,75,39,13,5,70
3,28,0.18695068359375,0.84251968503937,40,87,52,75,36,16,4,71
3,29,0.16282880306243896,0.8267716535433071,38,89,52,75,34,18,4,71
3,30,0.14704734086990356,0.8346456692913385,35,92,52,75,33,19,2,73
