mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
66.75167269706726,10.821037960003586,5.087541389465332,1.897089730641203,600,2,4,,30,True,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",0.7540983606557377,0.7569060773480663,0.751412429378531,0.7569060773480663,0.798941798941799,0.7636529487344401,0.017762116785011963,22
0.9114527225494384,0.48151154857211376,4.0983058452606205,1.8753708606959634,100,10,1,sqrt,,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8216216216216217,0.8054054054054054,0.819672131147541,0.8033240997229917,0.8398950131233596,0.8179836542041838,0.013185661086457077,3
79.01012849807739,10.127564611909113,3.758854293823242,1.4633919917758162,600,10,1,,10,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'bootstrap': False}",0.7208672086720868,0.6803519061583577,0.6748466257668712,0.7025495750708215,0.7298850574712644,0.7017000746278803,0.021630284090075856,30
7.031084060668945,3.500736035984532,10.266396045684814,2.829307681179546,100,2,2,log2,,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.8364611260053619,0.8054794520547945,0.7978142076502732,0.8241758241758241,0.839572192513369,0.8207005604799246,0.016565498281526113,2
190.28100309371948,7.990069795231438,4.185807418823242,1.6594610511066075,600,5,1,,50,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 50, 'bootstrap': False}",0.7473684210526316,0.7323943661971831,0.7398843930635838,0.7257617728531855,0.7704485488126649,0.7431715003958498,0.015438275956804932,26
42.62005610466004,7.533421639903434,4.378993034362793,1.1593116027946566,100,5,1,,,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None, 'bootstrap': False}",0.7493403693931399,0.7344632768361582,0.7621776504297995,0.7348066298342542,0.7757255936675461,0.7513027040321796,0.015964207006685556,24
18.302446365356445,2.197656683862959,6.491640615463257,2.4252441447745303,600,5,2,sqrt,50,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",0.8085106382978723,0.7967032967032966,0.8043478260869565,0.8162162162162162,0.837696335078534,0.8126948624765753,0.01400274607906989,9
9.894084119796753,2.8912314236103858,6.153943586349487,1.5154940845596672,200,10,2,sqrt,50,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",0.8172043010752689,0.8021978021978022,0.7967032967032966,0.8099173553719008,0.8324607329842932,0.8116966976665123,0.012487401687755792,10
138.953271150589,1.6350795510016551,5.855129384994507,0.9618823707645043,600,2,4,,50,False,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 50, 'bootstrap': False}",0.7223719676549866,0.7098591549295775,0.6686390532544378,0.7151162790697675,0.7554347826086957,0.7142842475034931,0.027794010993530138,29
10.63057188987732,1.3736864237644804,8.326574230194092,1.9748779059058876,600,10,2,log2,30,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.8210526315789474,0.8010610079575596,0.7851458885941645,0.8264462809917356,0.835509138381201,0.8138429895007215,0.018260046852215595,8
49.537941694259644,3.222538052577519,6.336358880996704,1.143305026568848,100,5,1,,50,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 50, 'bootstrap': False}",0.7454068241469817,0.7380281690140845,0.7456647398843931,0.7298050139275766,0.7757255936675461,0.7469260681281165,0.015528134647086267,25
11.536974143981933,5.1407532384992685,7.084306526184082,1.376925922611908,200,5,1,log2,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.8478260869565217,0.8154269972451791,0.8032786885245902,0.83008356545961,0.8432432432432433,0.8279717162858289,0.016727169952500936,1
90.44565811157227,1.387556448082582,2.9160340309143065,1.4781878556837214,400,10,2,,,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None, 'bootstrap': False}",0.7331536388140162,0.7045454545454546,0.7464387464387464,0.7298050139275766,0.7631578947368421,0.7354201496925271,0.019394357922061338,27
13.86552677154541,3.349130110357025,2.8011265277862547,0.36426378668846127,400,2,2,log2,10,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}",0.796875,0.7803617571059431,0.764102564102564,0.8092783505154639,0.8049382716049382,0.7911111886657819,0.01673004239702831,21
