Fold,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
1,0,1.0956554412841797,2.5153677463531494,0.5883014623172104,0.5859375,0.5859375,1.0,"[[0, 730], [2, 1046]]","[[0, 53], [0, 75]]"
1,1,2.2492802143096924,2.086960554122925,0.5905511811023622,0.5859375,0.5859375,1.0,"[[5, 725], [3, 1045]]","[[0, 53], [0, 75]]"
1,2,1.9103569984436035,1.283776879310608,0.6344206974128234,0.6171875,0.63,0.84,"[[217, 513], [137, 911]]","[[16, 37], [12, 63]]"
1,3,1.2691435813903809,0.8008220791816711,0.6158605174353206,0.5234375,0.64,0.4266666666666667,"[[585, 145], [538, 510]]","[[35, 18], [43, 32]]"
1,4,0.8842554092407227,0.798187255859375,0.5523059617547806,0.546875,0.8695652173913043,0.26666666666666666,"[[693, 37], [759, 289]]","[[50, 3], [55, 20]]"
1,5,0.9167613983154297,0.7585502862930298,0.5449943757030371,0.5390625,0.9444444444444444,0.22666666666666666,"[[712, 18], [791, 257]]","[[52, 1], [58, 17]]"
1,6,0.9462416172027588,0.649422824382782,0.6614173228346457,0.5703125,0.8125,0.3466666666666667,"[[678, 52], [550, 498]]","[[47, 6], [49, 26]]"
1,7,0.8185551166534424,0.6332241296768188,0.749156355455568,0.671875,0.726027397260274,0.7066666666666667,"[[526, 204], [242, 806]]","[[33, 20], [22, 53]]"
1,8,0.8178644180297852,0.6293194890022278,0.7570303712035995,0.65625,0.691358024691358,0.7466666666666667,"[[488, 242], [190, 858]]","[[28, 25], [19, 56]]"
1,9,0.808660626411438,0.6023770570755005,0.7564679415073116,0.6875,0.7611940298507462,0.68,"[[553, 177], [256, 792]]","[[37, 16], [24, 51]]"
1,10,0.7610598802566528,0.608002781867981,0.7407199100112486,0.6796875,0.8035714285714286,0.6,"[[631, 99], [362, 686]]","[[42, 11], [30, 45]]"
1,11,0.7744765877723694,0.6139084100723267,0.7328458942632171,0.71875,0.8979591836734694,0.5866666666666667,"[[653, 77], [398, 650]]","[[48, 5], [31, 44]]"
1,12,0.7404301166534424,0.6045727729797363,0.7429696287964005,0.71875,0.8823529411764706,0.6,"[[640, 90], [367, 681]]","[[47, 6], [30, 45]]"
1,13,0.7314296960830688,0.5956674218177795,0.7637795275590551,0.7265625,0.8571428571428571,0.64,"[[623, 107], [313, 735]]","[[45, 8], [27, 48]]"
1,14,0.7041401267051697,0.5962748527526855,0.7778402699662542,0.71875,0.8095238095238095,0.68,"[[594, 136], [259, 789]]","[[41, 12], [24, 51]]"
1,15,0.7086076140403748,0.5985425114631653,0.7840269966254219,0.734375,0.8153846153846154,0.7066666666666667,"[[581, 149], [235, 813]]","[[41, 12], [22, 53]]"
1,16,0.7031206488609314,0.5942538976669312,0.7862767154105736,0.734375,0.8153846153846154,0.7066666666666667,"[[589, 141], [239, 809]]","[[41, 12], [22, 53]]"
1,17,0.6866483688354492,0.5907644033432007,0.7862767154105736,0.7265625,0.8333333333333334,0.6666666666666666,"[[602, 128], [252, 796]]","[[43, 10], [25, 50]]"
1,18,0.6752831339836121,0.5888589024543762,0.7896512935883014,0.7265625,0.8448275862068966,0.6533333333333333,"[[615, 115], [259, 789]]","[[44, 9], [26, 49]]"
1,19,0.6538887023925781,0.5852529406547546,0.7947131608548932,0.7265625,0.8571428571428571,0.64,"[[622, 108], [257, 791]]","[[45, 8], [27, 48]]"
1,20,0.6631084680557251,0.5808584094047546,0.796962879640045,0.734375,0.8596491228070176,0.6533333333333333,"[[628, 102], [259, 789]]","[[45, 8], [26, 49]]"
1,21,0.652448832988739,0.5750032067298889,0.8003374578177728,0.75,0.864406779661017,0.68,"[[630, 100], [255, 793]]","[[45, 8], [24, 51]]"
1,22,0.6414234638214111,0.5703315138816833,0.7958380202474691,0.75,0.864406779661017,0.68,"[[641, 89], [274, 774]]","[[45, 8], [24, 51]]"
1,23,0.6379258036613464,0.5699275732040405,0.7975253093363329,0.75,0.8771929824561403,0.6666666666666666,"[[649, 81], [279, 769]]","[[46, 7], [25, 50]]"
1,24,0.6227278113365173,0.568904459476471,0.7902137232845894,0.734375,0.8596491228070176,0.6533333333333333,"[[649, 81], [292, 756]]","[[45, 8], [26, 49]]"
1,25,0.6178449988365173,0.5663551688194275,0.7980877390326209,0.7265625,0.8448275862068966,0.6533333333333333,"[[645, 85], [274, 774]]","[[44, 9], [26, 49]]"
1,26,0.6147810816764832,0.5633136630058289,0.8087739032620922,0.734375,0.8360655737704918,0.68,"[[635, 95], [245, 803]]","[[43, 10], [24, 51]]"
1,27,0.6103245615959167,0.5632071495056152,0.8149606299212598,0.75,0.8307692307692308,0.72,"[[626, 104], [225, 823]]","[[42, 11], [21, 54]]"
1,28,0.6059467196464539,0.5636230111122131,0.8166479190101237,0.7578125,0.8333333333333334,0.7333333333333333,"[[624, 106], [220, 828]]","[[42, 11], [20, 55]]"
1,29,0.5978710651397705,0.5640190839767456,0.8217097862767154,0.7578125,0.8333333333333334,0.7333333333333333,"[[631, 99], [218, 830]]","[[42, 11], [20, 55]]"
1,30,0.5932048559188843,0.5650935769081116,0.8217097862767154,0.75,0.8307692307692308,0.72,"[[633, 97], [220, 828]]","[[42, 11], [21, 54]]"
1,31,0.5902913808822632,0.5670821070671082,0.8200224971878515,0.75,0.8412698412698413,0.7066666666666667,"[[638, 92], [228, 820]]","[[43, 10], [22, 53]]"
