Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
2,27,0.08213803172111511,0.84251968503937,36,91,52,75,34,18,2,73
2,28,0.057465218007564545,0.8503937007874016,41,86,52,75,37,15,4,71
2,29,0.05827590078115463,0.8582677165354331,42,85,52,75,38,14,4,71
2,30,0.059050705283880234,0.8346456692913385,37,90,52,75,34,18,3,72
2,31,0.04127073660492897,0.8346456692913385,35,92,52,75,33,19,2,73
2,32,0.05178489163517952,0.8346456692913385,37,90,52,75,34,18,3,72
2,33,0.03379303216934204,0.8346456692913385,37,90,52,75,34,18,3,72
2,34,0.032851442694664,0.8346456692913385,37,90,52,75,34,18,3,72
2,35,0.030124979093670845,0.8346456692913385,37,90,52,75,34,18,3,72
2,36,0.02531585656106472,0.8346456692913385,37,90,52,75,34,18,3,72
2,37,0.01799733377993107,0.8346456692913385,37,90,52,75,34,18,3,72
2,38,0.028671376407146454,0.8346456692913385,37,90,52,75,34,18,3,72
2,39,0.018455347046256065,0.84251968503937,40,87,52,75,36,16,4,71
2,40,0.019106026738882065,0.8503937007874016,41,86,52,75,37,15,4,71
2,41,0.01750074326992035,0.8503937007874016,41,86,52,75,37,15,4,71
2,42,0.011876990087330341,0.8503937007874016,41,86,52,75,37,15,4,71
2,43,0.01188768818974495,0.8582677165354331,40,87,52,75,37,15,3,72
2,44,0.01366214919835329,0.8661417322834646,41,86,52,75,38,14,3,72
2,45,0.013242147862911224,0.8661417322834646,43,84,52,75,39,13,4,71
2,46,0.016551783308386803,0.8582677165354331,44,83,52,75,39,13,5,70
2,47,0.010718063451349735,0.8582677165354331,44,83,52,75,39,13,5,70
2,48,0.015756133943796158,0.8661417322834646,43,84,52,75,39,13,4,71
2,49,0.009660889394581318,0.8661417322834646,43,84,52,75,39,13,4,71
3,0,1.3464118242263794,0.4094488188976378,127,0,52,75,52,0,75,0
3,1,45.16001510620117,0.4094488188976378,127,0,52,75,52,0,75,0
3,2,11.423352241516113,0.4094488188976378,127,0,52,75,52,0,75,0
3,3,0.9392077922821045,0.5984251968503937,3,124,52,75,2,50,1,74
3,4,0.8366902470588684,0.5905511811023622,0,127,52,75,0,52,0,75
3,5,0.9057000875473022,0.5905511811023622,0,127,52,75,0,52,0,75
3,6,0.8870373368263245,0.5905511811023622,0,127,52,75,0,52,0,75
3,7,0.8661698698997498,0.5905511811023622,0,127,52,75,0,52,0,75
3,8,0.8323235511779785,0.5905511811023622,0,127,52,75,0,52,0,75
3,9,0.7958622574806213,0.5905511811023622,0,127,52,75,0,52,0,75
3,10,0.7683671712875366,0.5905511811023622,0,127,52,75,0,52,0,75
3,11,0.7315526604652405,0.5905511811023622,0,127,52,75,0,52,0,75
3,12,0.7110636234283447,0.6062992125984252,2,125,52,75,2,50,0,75
3,13,0.6921358704566956,0.6141732283464567,3,124,52,75,3,49,0,75
3,14,0.6708033084869385,0.6141732283464567,3,124,52,75,3,49,0,75
3,15,0.6457923650741577,0.6771653543307087,13,114,52,75,12,40,1,74
3,16,0.6328069567680359,0.7480314960629921,28,99,52,75,24,28,4,71
3,17,0.5875039100646973,0.7401574803149606,27,100,52,75,23,29,4,71
3,18,0.5735316872596741,0.7637795275590551,32,95,52,75,27,25,5,70
3,19,0.536086916923523,0.7874015748031497,41,86,52,75,33,19,8,67
3,20,0.49249356985092163,0.7716535433070866,45,82,52,75,34,18,11,64
3,21,0.4677235782146454,0.7716535433070866,41,86,52,75,32,20,9,66
3,22,0.4219248294830322,0.7874015748031497,43,84,52,75,34,18,9,66
3,23,0.41532695293426514,0.7874015748031497,45,82,52,75,35,17,10,65
3,24,0.36765173077583313,0.7952755905511811,46,81,52,75,36,16,10,65
3,25,0.35486355423927307,0.8031496062992126,43,84,52,75,35,17,8,67
3,26,0.32957106828689575,0.8110236220472441,40,87,52,75,34,18,6,69
3,27,0.30219566822052,0.8267716535433071,42,85,52,75,36,16,6,69
3,28,0.2849964201450348,0.8188976377952756,39,88,52,75,34,18,5,70
3,29,0.25364556908607483,0.8188976377952756,39,88,52,75,34,18,5,70
3,30,0.2376129925251007,0.8346456692913385,41,86,52,75,36,16,5,70
3,31,0.20457060635089874,0.84251968503937,44,83,52,75,38,14,6,69
3,32,0.18704889714717865,0.8346456692913385,43,84,52,75,37,15,6,69
3,33,0.18308191001415253,0.8346456692913385,41,86,52,75,36,16,5,70
3,34,0.16236811876296997,0.8582677165354331,38,89,52,75,36,16,2,73
3,35,0.14954975247383118,0.8503937007874016,39,88,52,75,36,16,3,72
3,36,0.13475973904132843,0.8582677165354331,40,87,52,75,37,15,3,72
3,37,0.11957916617393494,0.84251968503937,38,89,52,75,35,17,3,72
3,38,0.10269805788993835,0.8346456692913385,37,90,52,75,34,18,3,72
3,39,0.10365822911262512,0.8267716535433071,38,89,52,75,34,18,4,71
3,40,0.09457933157682419,0.8188976377952756,39,88,52,75,34,18,5,70
3,41,0.0839950367808342,0.8267716535433071,40,87,52,75,35,17,5,70
3,42,0.06842232495546341,0.8267716535433071,40,87,52,75,35,17,5,70
3,43,0.07212554663419724,0.8346456692913385,41,86,52,75,36,16,5,70
