Metric,Baseline,Proposed
Accuracy,0.750319881889764,0.7828412073490815
Precision,0.756068377135543,0.7782925163892489
Recall,0.853153153153153,0.893981981981982
F1-score,0.8012430025378637,0.8300275804221758
